step,split,loss,perplexity,lr,tokens,elapsed_s
4000,train,2.062388,7.8647,2.837396e-04,65536000,1851.8
4000,val,1.991582,7.3271,2.837396e-04,65536000,1856.7
4020,train,2.091341,8.0958,2.835265e-04,65863680,1866.1
4040,train,2.199086,9.0168,2.833122e-04,66191360,1874.1
4060,train,2.021047,7.5462,2.830965e-04,66519040,1882.0
4080,train,2.120766,8.3375,2.828796e-04,66846720,1891.4
4100,train,2.117397,8.3095,2.826613e-04,67174400,1901.2
4120,train,2.054945,7.8064,2.824418e-04,67502080,1910.8
4140,train,2.034161,7.6458,2.822210e-04,67829760,1918.8
4160,train,2.114059,8.2818,2.819989e-04,68157440,1927.0
4180,train,2.022039,7.5537,2.817755e-04,68485120,1934.4
4200,train,2.121912,8.3471,2.815509e-04,68812800,1942.3
4220,train,2.162340,8.6915,2.813250e-04,69140480,1964.2
4240,train,2.047469,7.7483,2.810978e-04,69468160,1986.9
4260,train,2.089719,8.0826,2.808693e-04,69795840,2009.5
4280,train,2.017875,7.5223,2.806396e-04,70123520,2031.0
4300,train,2.009550,7.4600,2.804086e-04,70451200,2047.5
4320,train,2.061736,7.8596,2.801763e-04,70778880,2056.5
4340,train,2.015733,7.5062,2.799428e-04,71106560,2065.7
4360,train,2.034857,7.6512,2.797081e-04,71434240,2074.3
4380,train,2.010339,7.4658,2.794720e-04,71761920,2085.6
4400,train,2.093199,8.1108,2.792348e-04,72089600,2095.8
4420,train,2.069846,7.9236,2.789962e-04,72417280,2106.1
4440,train,2.143396,8.5283,2.787565e-04,72744960,2115.6
4460,train,2.087979,8.0686,2.785154e-04,73072640,2125.3
4480,train,2.065158,7.8865,2.782732e-04,73400320,2134.9
4500,train,2.030105,7.6149,2.780297e-04,73728000,2144.0
4500,val,1.957085,7.0787,2.780297e-04,73728000,2148.0
4520,train,2.057806,7.8288,2.777849e-04,74055680,2159.7
4540,train,2.038072,7.6758,2.775390e-04,74383360,2170.7
4560,train,1.981773,7.2556,2.772918e-04,74711040,2181.5
4580,train,2.097241,8.1437,2.770434e-04,75038720,2193.4
4600,train,2.023498,7.5647,2.767937e-04,75366400,2203.8
4620,train,2.092074,8.1017,2.765428e-04,75694080,2214.8
4640,train,2.000126,7.3900,2.762907e-04,76021760,2225.7
4660,train,2.137900,8.4816,2.760374e-04,76349440,2235.7
4680,train,2.016447,7.5116,2.757829e-04,76677120,2243.3
4700,train,2.004274,7.4207,2.755272e-04,77004800,2252.2
4720,train,2.070328,7.9274,2.752702e-04,77332480,2261.0
4740,train,1.988626,7.3055,2.750121e-04,77660160,2269.5
4760,train,2.082589,8.0252,2.747527e-04,77987840,2278.0
4780,train,1.982707,7.2624,2.744922e-04,78315520,2286.9
4800,train,1.941293,6.9678,2.742304e-04,78643200,2295.7
4820,train,1.986279,7.2884,2.739675e-04,78970880,2304.4
4840,train,2.092123,8.1021,2.737033e-04,79298560,2314.2
4860,train,1.917831,6.8062,2.734380e-04,79626240,2323.6
4880,train,2.009631,7.4606,2.731715e-04,79953920,2334.3
4900,train,2.127211,8.3914,2.729038e-04,80281600,2343.4
4920,train,2.109795,8.2466,2.726349e-04,80609280,2351.7
4940,train,1.955840,7.0699,2.723649e-04,80936960,2360.6
4960,train,2.043342,7.7164,2.720936e-04,81264640,2372.9
4980,train,2.051102,7.7765,2.718212e-04,81592320,2384.0
5000,train,2.118783,8.3210,2.715477e-04,81920000,2395.7
5000,val,1.924242,6.8500,2.715477e-04,81920000,2400.6
5020,train,1.996541,7.3635,2.712729e-04,82247680,2412.0
5040,train,2.043125,7.7147,2.709971e-04,82575360,2421.5
5060,train,2.007341,7.4435,2.707200e-04,82903040,2431.2
5080,train,1.995689,7.3573,2.704418e-04,83230720,2441.1
5100,train,2.016281,7.5103,2.701624e-04,83558400,2452.0
5120,train,1.999276,7.3837,2.698819e-04,83886080,2463.9
5140,train,2.057249,7.8244,2.696003e-04,84213760,2475.3
5160,train,1.883931,6.5793,2.693175e-04,84541440,2486.8
5180,train,2.035663,7.6573,2.690335e-04,84869120,2498.4
5200,train,2.085824,8.0512,2.687484e-04,85196800,2509.5
5220,train,1.958723,7.0903,2.684622e-04,85524480,2521.2
5240,train,2.084246,8.0385,2.681749e-04,85852160,2532.1
5260,train,2.038366,7.6781,2.678864e-04,86179840,2544.0
5280,train,2.004281,7.4208,2.675968e-04,86507520,2556.2
5300,train,2.036516,7.6639,2.673061e-04,86835200,2566.8
5320,train,2.047683,7.7499,2.670142e-04,87162880,2578.2
5340,train,2.033153,7.6381,2.667213e-04,87490560,2589.7
5360,train,2.080205,8.0061,2.664272e-04,87818240,2601.2
5380,train,1.958707,7.0902,2.661320e-04,88145920,2612.9
5400,train,2.059665,7.8433,2.658357e-04,88473600,2624.0
5420,train,2.042315,7.7084,2.655384e-04,88801280,2635.1
5440,train,1.988110,7.3017,2.652399e-04,89128960,2639.8
5460,train,2.076596,7.9773,2.649403e-04,89456640,2644.3
5480,train,1.909656,6.7508,2.646396e-04,89784320,2648.7
5500,train,1.932780,6.9087,2.643378e-04,90112000,2653.2
5500,val,1.896841,6.6648,2.643378e-04,90112000,2654.8
5520,train,1.983319,7.2668,2.640350e-04,90439680,2659.4
5540,train,2.035806,7.6584,2.637311e-04,90767360,2663.9
5560,train,1.976680,7.2187,2.634260e-04,91095040,2668.3
5580,train,2.065116,7.8862,2.631200e-04,91422720,2672.8
5600,train,2.040201,7.6922,2.628128e-04,91750400,2677.3
5620,train,2.015506,7.5045,2.625046e-04,92078080,2681.7
5640,train,2.042205,7.7076,2.621953e-04,92405760,2686.2
5660,train,1.963163,7.1218,2.618849e-04,92733440,2690.7
5680,train,2.040782,7.6966,2.615735e-04,93061120,2695.1
5700,train,1.914310,6.7823,2.612610e-04,93388800,2699.6
5720,train,2.061315,7.8563,2.609475e-04,93716480,2706.6
5740,train,1.915411,6.7897,2.606329e-04,94044160,2714.7
5760,train,1.955334,7.0663,2.603173e-04,94371840,2722.9
5780,train,2.013068,7.4862,2.600006e-04,94699520,2734.9
5800,train,1.995472,7.3557,2.596829e-04,95027200,2744.0
5820,train,1.991760,7.3284,2.593641e-04,95354880,2752.6
5840,train,1.966289,7.1441,2.590444e-04,95682560,2760.8
5860,train,2.010005,7.4634,2.587236e-04,96010240,2769.7
5880,train,1.899252,6.6809,2.584017e-04,96337920,2782.1
5900,train,1.907659,6.7373,2.580789e-04,96665600,2794.3
5920,train,2.057402,7.8256,2.577550e-04,96993280,2806.7
5940,train,2.056973,7.8223,2.574301e-04,97320960,2818.5
5960,train,1.967688,7.1541,2.571042e-04,97648640,2829.7
5980,train,1.981034,7.2502,2.567773e-04,97976320,2841.2
6000,train,1.951132,7.0367,2.564494e-04,98304000,2852.8
6000,val,1.876365,6.5297,2.564494e-04,98304000,2857.9
6020,train,2.017602,7.5203,2.561205e-04,98631680,2870.1
6040,train,1.975674,7.2115,2.557906e-04,98959360,2882.6
6060,train,1.915333,6.7892,2.554597e-04,99287040,2895.3
6080,train,1.997299,7.3691,2.551279e-04,99614720,2907.9
6100,train,1.927897,6.8750,2.547950e-04,99942400,2920.4
6120,train,1.960295,7.1014,2.544611e-04,100270080,2932.9
6140,train,2.010861,7.4697,2.541263e-04,100597760,2945.0
6160,train,1.968415,7.1593,2.537905e-04,100925440,2956.7
6180,train,2.015756,7.5064,2.534537e-04,101253120,2967.7
6200,train,1.896047,6.6595,2.531160e-04,101580800,2978.6
6220,train,1.908780,6.7449,2.527773e-04,101908480,2989.5
6240,train,1.926632,6.8663,2.524376e-04,102236160,3000.0
6260,train,2.068357,7.9118,2.520970e-04,102563840,3012.4
6280,train,1.934560,6.9210,2.517554e-04,102891520,3023.7
6300,train,1.937559,6.9418,2.514129e-04,103219200,3036.0
6320,train,2.076724,7.9783,2.510694e-04,103546880,3047.4
6340,train,1.955532,7.0677,2.507250e-04,103874560,3059.3
6360,train,1.941544,6.9695,2.503797e-04,104202240,3072.1
6380,train,1.986937,7.2932,2.500334e-04,104529920,3084.0
6400,train,1.870727,6.4930,2.496862e-04,104857600,3095.4
6420,train,1.987087,7.2943,2.493381e-04,105185280,3107.1
6440,train,1.993338,7.3400,2.489890e-04,105512960,3118.5
6460,train,1.995582,7.3565,2.486390e-04,105840640,3130.2
6480,train,1.940068,6.9592,2.482881e-04,106168320,3141.5
6500,train,1.912216,6.7681,2.479363e-04,106496000,3153.8
6500,val,1.858345,6.4131,2.479363e-04,106496000,3159.0
6520,train,1.958530,7.0889,2.475836e-04,106823680,3171.2
6540,train,1.947399,7.0104,2.472300e-04,107151360,3183.3
6560,train,2.010289,7.4655,2.468755e-04,107479040,3194.9
